id;telemetry_timestamp;latitude;longitude;speed;fuel_level;engine_status
1;2024-06-03T15:07:36;26879.21;15207.25;22582.33;23373.48;foretell
2;2024-06-03T19:47:46;20831.34;16053.75;18619.28;11420.9;abbreviate
3;2024-06-03T08:45:00;20729.15;12544.32;6127.35;27653.24;vigorous
4;2024-06-03T15:48:02;11748.44;27014.55;25781.33;23850.1;yum
5;2024-06-03T20:19:10;24522.9;1309.29;21116.19;15566.86;yowza that presume
6;2024-06-03T22:23:42;5306.58;28855.83;3794.34;7431.23;enthusiastically after
7;2024-06-03T05:02:46;16010.02;8813.19;19354.61;14917.23;campaign in compel
8;2024-06-03T08:52:29;19687.29;30138.12;26279.57;5961.39;surrender
9;2024-06-03T09:45:45;31095.86;19010.58;24987.4;27024.48;vibration mmm
10;2024-06-03T06:02:27;21532.17;20989.99;23742.35;29299.66;against badly mixed
